24 S 1354	
529654.5534	8555623.22
529538.3839	8555569.218
529422.9693	8555510.838
529422.7468	8555510.727
529421.2864	8555510.065
529420.6296	8555509.804
529356.1219	8555485.24
529355.2783	8555484.936
529353.7441	8555484.471
529352.1827	8555484.107
529351.4995	8555483.981
529310.4687	8555477.022
529309.4967	8555476.727
529307.9353	8555476.363
529306.3535	8555476.102
529304.758	8555475.945
529303.8686	8555475.903
529302.9699	8555475.767
529301.3744	8555475.61
529299.772	8555475.558
529298.1696	8555475.61
529297.1776	8555475.708
529275.5252	8555475.078
529274.8122	8555475.067
529273.3661	8555475.11
529244.1755	8555476.836
529244.0192	8555476.846
529243.1122	8555476.922
529187.5587	8555482.642
529187.0887	8555482.695
529141.1131	8555488.328
529140.8946	8555488.356
529140.8504	8555488.362
529096.2848	8555494.311
529013.1345	8555504.546
529013.037	8555504.558
528939.9652	8555513.85
528868.6901	8555522.741
528868.5971	8555522.753
528755.1815	8555537.341
528672.6147	8555547.321
528608.6243	8555553.838
528570.4543	8555555.856
528512.8751	8555556.57
528477.717	8555556.125
528434.4051	8555553.668
528399.4417	8555550.242
528361.8671	8555546.172
528361.7717	8555546.162
528334.0103	8555543.265
528245.9553	8555533.37
528155.4649	8555522.68
528155.311	8555522.662
528084.9078	8555514.796
528084.7838	8555514.782
528050.0433	8555511.08
528049.8206	8555511.057
528002.2527	8555506.427
528001.4814	8555506.364
528001.0369	8555506.339
527955.2883	8555504.174
527952.528	8555504.199
527952.2419	8555504.22
527911.9323	8555507.336
527911.5374	8555507.37
527856.7893	8555512.495
527855.8748	8555512.598
527854.293	8555512.859
527854.2753	8555512.862
527813.5715	8555520.99
527812.0346	8555521.349
527746.5173	8555538.884
527629.0936	8555569.463
527628.9268	8555569.507
527628.4883	8555569.629
527512.1886	8555603.119
527344.3092	8555647.72
527344.2588	8555647.733
527343.6521	8555647.904
527222.7337	8555683.662
527222.7197	8555683.667
527126.7367	8555712.113
527125.8232	8555712.403
527124.5402	8555712.879
526996.4697	8555764.495
526996.2522	8555764.584
526994.7919	8555765.245
526994.3929	8555765.447
526872.2163	8555828.494
526872.0988	8555828.555
526797.6508	8555867.483
526755.8398	8555886.168
526728.4211	8555891.512
526706.5484	8555894.375
526661.9578	8555895.46
526628.503	8555891.63
526599.3796	8555885.473
526555.4449	8555872.754
526410.2205	8555830.474
526281.6803	8555792.393
526281.5911	8555792.367
526136.712	8555750.042
526079.4537	8555733.153
526015.0449	8555711.01
525958.0061	8555688.007
525908.9439	8555664.004
525870.6432	8555645.035
525814.1558	8555615.988
525777.2274	8555595.94
525776.3742	8555595.498
525776.3659	8555595.494
525721.0768	8555568.254
525720.6731	8555568.06
525688.2311	8555552.807
525687.1827	8555552.344
525685.6986	8555551.785
525661.8278	8555543.663
525661.8115	8555543.658
525660.2773	8555543.192
525658.7159	8555542.828
525658.1444	8555542.721
525620.1922	8555536.104
525619.1819	8555535.95
525617.5864	8555535.793
525616.8549	8555535.756
525570.006	8555534.089
525569.1351	8555534.074
525567.5971	8555534.122
525521.385	8555537.029
525521.3206	8555537.033
525519.7251	8555537.19
525518.3914	8555537.403
525473.1062	8555545.926
525472.8581	8555545.974
525471.2967	8555546.339
525471.0189	8555546.415
525412.3687	8555562.872
525412.0202	8555562.972
525386.5206	8555570.536
525308.2759	8555593.446
525307.7385	8555593.61
525230.7638	8555618.078
525230.3104	8555618.227
525229.8903	8555618.374
525159.3568	8555643.755
525159.0133	8555643.881
525106.544	8555663.652
525105.9166	8555663.798
525104.3824	8555664.264
525102.8819	8555664.829
525101.4216	8555665.49
525100.744	8555665.838
525100.0072	8555666.129
525098.5468	8555666.791
525097.1329	8555667.546
525095.7714	8555668.393
525095.2721	8555668.751
525006.5269	8555715.998
525005.7905	8555716.407
525004.429	8555717.254
525004.1409	8555717.449
524954.4308	8555751.696
524953.4158	8555752.434
524952.988	8555752.77
524907.0392	8555789.677
524906.4287	8555790.184
524860.9635	8555829.19
524795.2711	8555885.519
524752.9937	8555921.72
524752.9856	8555921.727
524696.6296	8555970.025
524636.9926	8556020.616
524636.9685	8556020.636
524574.0395	8556074.159
524573.9837	8556074.206
524543.8158	8556100.021
524543.5931	8556100.214
524374.3017	8556248.64
524224.8886	8556378.161
